npaid	smiles
NPA000407	C[C@H](CCCCC=C)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1CCC[C@H]1C(=O)N(C)[C@@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N(C)[C@@H](CC2=CC=C(C=C2)OC)C(=O)N(C)CC3=NC=CS3
NPA000408	CC[C@@H](C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)[C@H](C)CC)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C
NPA000410	CC1C(C2C(O2)C3C(=C(C(C(=O)C3(C)OC)(C=O)O)C)C(=O)CCC(=O)O1)O
NPA000419	CC1C(=O)N2C(CCCN2)C(=O)N3C(CC4(C3NC5=C4C=CC(=C5)Cl)O)C(=O)NC(C(=O)N6C(CCC=N6)C(=O)N7C(CCCN7)C(=O)N1C)C(C)C
NPA000422	CC(C)C[C@@H]1[C@@H](C(=O)N(C1=O)O)C2=CC=C(C=C2)OCC=C(C)C
NPA000423	CCC[C@H]1C(=O)NC[C@H](C[C@@H]([C@@H](CC/C(=C/C=C/C(CCCC(=O)CCCC[C@H](C[C@@H](C(=O)O1)C)C)CC)/COC)O)O)O
NPA000425	C[C@@H](/C=C(\C)/C=C/[C@@H]([C@H](C)C(=O)N[C@H](CCC(=O)N(C)C(=C)C(=O)N[C@H](C)C(=O)O)C(=O)O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](C)[C@H](C(=O)O)NC(=O)[C@H](CC(C)C)N)[C@H](CC1=CC=CC=C1)OC
NPA000427	CC1=C(C2=C(C=C1)C(C3=CC(=C(C(=C3C2=O)C)C(=O)O)O)(C)O)O
NPA000428	CCCCCC(=O)C[C@@H]1CC(=C(C(=O)[C@]1(C)O)C)CC(=O)CCC
NPA000430	CCCCCCCCCC[C@H](C)CCC[C@@]1(C=C/C(=C\2/C(=O)[C@@H](OC2=O)CC(=O)O)/O1)C
NPA000432	C[C@@H]1[C@H](CCCC/C=C\C[C@H](OC(=O)C[C@@H](C(C1=O)(C)C)O)/C(=C/C2=CSC(=N2)C)/C)O
NPA000434	CC[C@H](C)[C@@H](C(=O)N(C)[C@@H](C(C)C)C(=O)O)N(C)C(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)C1=CC=CC=C1
NPA000444	CCCCCCCC[C@@H]1[C@H]2[C@@H](C(=O)O[C@H]2C(=O)O1)C
NPA000451	CCCCCCCC(=O)C(C)C(=O)N1CCC=C1
NPA000454	CCCC1C(C(=O)N[C@H](C(=O)N([C@H](C(=O)N2CCC[C@H]2C(=O)N([C@H](C(=O)NCC(=O)O1)CC3=CC=CC=C3)C)CC4=CC=CC=C4)C)C(C)C)(C)C
NPA000459	CCCCCCCCCCCC(CCCCC(C)CC(C)/C=C(\C)/C(=O)C(C)C(=O)OC(CO)C(C(C(=O)OC)O)O)O
NPA000461	CC[C@H](C)[C@H]1C(=O)OC(CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N1)CC(C)C)CC(=O)O)C(C)C)CC(C)C)CC(C)C)CCC(=O)O)CCCCCCCCCC(C)C
NPA000463	C[C@]1(C(=O)[C@H]2[C@H]3C(=O)[C@@]1(C4=C5C(=CC=C4)N(C(=O)[C@@]5(C3(C)C)O2)C)[N+]#[C-])C=C
NPA000469	CCCCCCCCCCCCCCCC(=O)NC1CC(C(NC(=O)C2C(C(CN2C(=O)C(NC(=O)C(NC(=O)C3CC(CN3C(=O)C(NC1=O)C(C)O)O)C(CC4=CC(=C(C=C4)OS(=O)(=O)O)O)O)C(CC(=O)N)O)C)O)O)O
NPA000472	C[C@@H]1C[C@H]([C@@H](OC(=O)[C@H](NC(=O)C[C@H](C[C@@H]1O)O)C)[C@@H](C)C[C@H](C)[C@@H]([C@H](C)[C@@H](C[C@H](C)O)O)O)C
